title	developer	publisher	release date	
Plantera	Ratalaika Games	Ratalaika Games	<span data-sort-value="000000002017-02-09-0000" style="white-space:nowrap">February 9, 2017	
'Poochy & Yoshi''s Woolly World'	Good-Feel	Nintendo	<span data-sort-value="000000002017-02-03-0000" style="white-space:nowrap">February 3, 2017	
Legna Tactica	Hit-Point	Kemco	<span data-sort-value="000000002017-02-02-0000" style="white-space:nowrap">February 2, 2017	
Candy, Please!	Nostatic Software	Nostatic Software	<span data-sort-value="000000002017-01-26-0000" style="white-space:nowrap">January 26, 2017	
Word Search 10K	Lightwood Games	Lightwood Games	<span data-sort-value="000000002017-01-26-0000" style="white-space:nowrap">January 26, 2017	
Dragon Quest VIII	Level-5	Square Enix	<span data-sort-value="000000002017-01-20-0000" style="white-space:nowrap">January 20, 2017	
Color Cubes	RCMADIAX	RCMADIAX	<span data-sort-value="000000002017-01-19-0000" style="white-space:nowrap">January 19, 2017	
Punch Club	tinyBuild	tinyBuild	<span data-sort-value="000000002017-01-19-0000" style="white-space:nowrap">January 19, 2017	
Shift DX	Choice Provisions	Choice Provisions	<span data-sort-value="000000002017-01-12-0000" style="white-space:nowrap">January 12, 2017	
Quiet, Please!	Nostatic Software	Nostatic Software	<span data-sort-value="000000002017-01-05-0000" style="white-space:nowrap">January 5, 2017	
Geki Yaba Runner Deluxe	QubicGames	QubicGames	<span data-sort-value="000000002016-12-22-0000" style="white-space:nowrap">December 22, 2016	
Gourmet Dream	Arc System Works	Arc System Works	<span data-sort-value="000000002016-12-22-0000" style="white-space:nowrap">December 22, 2016	
Hit Ninja	Petite Games	Petite Games	<span data-sort-value="000000002016-12-22-0000" style="white-space:nowrap">December 22, 2016	
Mini Golf Resort	Teyon	Teyon	<span data-sort-value="000000002016-12-22-0000" style="white-space:nowrap">December 22, 2016	
Mercenaries Saga 3: Gray Wolves of War	Rideon Japan	Circle Entertainment	<span data-sort-value="000000002016-12-15-0000" style="white-space:nowrap">December 15, 2016	
Picross e7	Jupiter	Jupiter	<span data-sort-value="000000002016-12-15-0000" style="white-space:nowrap">December 15, 2016	
Animal Crossing: New Leaf – Welcome amiibo	Nintendo	Nintendo	<span data-sort-value="000000002016-12-08-0000" style="white-space:nowrap">December 8, 2016	
Galaxy Blaster	RCMADIAX	RCMADIAX, CosenJP	<span data-sort-value="000000002016-12-08-0000" style="white-space:nowrap">December 8, 2016	
Super Mario Maker for Nintendo 3DS	Nintendo EPD	Nintendo	<span data-sort-value="000000002016-12-02-0000" style="white-space:nowrap">December 2, 2016	
Cup Critters	RCMADIAX	RCMADIAX	<span data-sort-value="000000002016-12-01-0000" style="white-space:nowrap">December 1, 2016	
Hyperlight EX	CatfishBlues Games	CatfishBlues Games	<span data-sort-value="000000002016-12-01-0000" style="white-space:nowrap">December 1, 2016	
Dragon Ball Fusions	Ganbarion	Bandai Namco Entertainment	<span data-sort-value="000000002016-11-22-0000" style="white-space:nowrap">November 22, 2016	
Pokémon Moon	Game Freak	Nintendo	<span data-sort-value="000000002016-11-18-0000" style="white-space:nowrap">November 18, 2016	
Pokémon Sun	Game Freak	Nintendo	<span data-sort-value="000000002016-11-18-0000" style="white-space:nowrap">November 18, 2016	
